Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6ExowkcIBzX1MfleYpxr3H,"5BWwOqYJwIlEbS858Kmh2E","Waldstein (3rd Movement)","Betoven - Best Piano Pieces","Betoven Collection",2020-03-06,567681,33,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:20:43Z,"",0.55,0.117,0,-24.503,1,0.0341,0.964,0.925,0.111,0.0874,114.994,4
6QZDdzBlKBmBTCVto8ssxF,"5BWwOqYJwIlEbS858Kmh2E","Appassionata (1st Movement)","Betoven - Best Piano Pieces","Betoven Collection",2020-03-06,530529,35,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:20:45Z,"",0.213,0.065,5,-27.345,0,0.0346,0.949,0.872,0.0949,0.0433,179.104,3
21Q626ue3X562aanSY6CiP,"5BWwOqYJwIlEbS858Kmh2E","Appassionata (2nd Movement)","Betoven - Best Piano Pieces","Betoven Collection",2020-03-06,381178,33,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:20:45Z,"",0.338,0.0205,1,-26.013,1,0.0457,0.994,0.871,0.104,0.106,92.041,4
08TwDVzVc4BfE25rKDTTEs,"5BWwOqYJwIlEbS858Kmh2E","Appassionata (3rd Movement)","Betoven - Best Piano Pieces","Betoven Collection",2020-03-06,445823,35,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:20:47Z,"",0.373,0.153,5,-27.555,0,0.0367,0.976,0.937,0.113,0.0827,77.214,4
79IlJCeKRnNSd0Riu0H2MO,"5BWwOqYJwIlEbS858Kmh2E","Les Adieux (1st Movement)","Betoven - Best Piano Pieces","Betoven Collection",2020-03-06,417587,32,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:20:48Z,"",0.599,0.063,3,-27.104,1,0.0395,0.985,0.877,0.14,0.142,89.014,4
6XKSTfSFEQl5PVTLEBQuEV,"5BWwOqYJwIlEbS858Kmh2E","Les Adieux (2nd Movement)","Betoven - Best Piano Pieces","Betoven Collection",2020-03-06,164954,32,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:20:49Z,"",0.671,0.0496,7,-28.797,1,0.0495,0.991,0.906,0.0793,0.131,62.016,4
4IC76kL1KQHhmNoyrF2qPw,"5BWwOqYJwIlEbS858Kmh2E","Les Adieux (3rd Movement)","Betoven - Best Piano Pieces","Betoven Collection",2020-03-06,263778,33,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:20:50Z,"",0.578,0.14,10,-24.652,1,0.0334,0.985,0.903,0.118,0.332,121.983,4
7n5bQsTQ5GA1BATie7hqL0,"6MF58APd3YV72Ln2eVg710,40hK7bcR0mDKDeGSOEedpn,6RmuLYzCAon1ZG7wS6bk3c","Lieder ohne Worte, Op.62: IV. Allegro con anima","Classic Piano Collection","Felix Mendelssohn,Danica Binx,Gerard Tahaud",2020-02-10,77629,33,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-04-03T21:20:52Z,"classical,early romantic era,german romanticism",0.366,0.039,7,-28.776,1,0.0572,0.994,0.959,0.107,0.26,139.548,4
4hdvNtYI1zVIJJejs5uRBS,"3T7wt23xNhYheYCCtKKntb","Moonlight Sonata","Mozart Effect","Brain Power Amadeus",2020-03-08,286069,41,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-07T22:20:58Z,"",0.403,0.00936,3,-37.928,0,0.0466,0.992,0.952,0.106,0.149,154.253,3
4NJKR0F3m0pZ0SWuYJZbf4,"3kY6ifFFZIq9LVO6bIQb15,1385hLNbrnbCJGokfH2ac2","Libestraume - No.3","Romantic Liszt","Pianozone,Franz Liszt",2020-05-23,218631,35,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-09T16:05:45Z,"classical,late romantic era",0.342,0.154,8,-18.372,1,0.0377,0.983,0.884,0.109,0.0591,134.89,3
4aLuIwrsqd79xweBx5M1HW,"7y97mc3bZRFXzT2szRM4L4,6wH3FXYafeARUkupv4XjGm","Waltz in C-Sharp Minor, Op. 64 No. 2","Chopin: Waltzes","Frédéric Chopin,Vittorio Forte",2018-08-03,227740,35,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-09T16:08:32Z,"classical,early romantic era,polish classical,italian classical piano",0.257,0.0253,1,-29.536,0,0.044,0.993,0.846,0.095,0.155,68.78,1
3ogwFGLaTYfEshY9VfTIHA,"2WJ5Jh2DxFhkyA3xRoq77z","Chopin - Prelude E-Minor OP.28 No 4","Pianissimo","Martin Bloch",2013-12-15,129242,46,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-09T16:13:44Z,"calming instrumental",0.421,0.0154,4,-28.787,0,0.053,0.994,0.915,0.0801,0.0482,68.42,4
7tqC7d7qs8rgxy9C3e1Je8,"7y97mc3bZRFXzT2szRM4L4,5PBkqMGQIERbzE5fSqdMr0","Nocturne No. 1 in B-Flat Minor, Op. 9 No. 1","The Nocturnes","Frédéric Chopin,Park Eun Shik",2019-12-13,330332,36,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-09T16:24:33Z,"classical,early romantic era,polish classical,korean classical performance,korean classical piano",0.329,0.0162,1,-27.927,1,0.0379,0.993,0.887,0.095,0.0378,70.178,4
2WwWeZvHcbHidLsvn27mOa,"7y97mc3bZRFXzT2szRM4L4,5HG9Eg7Ik8ZuNtMyGYTxLG","Chopin: Fantaisie-impromptu in C-Sharp Minor, Op. Posth. 66","Chopin: Pièces pour piano","Frédéric Chopin,Alexandre Tharaud",2009-11-23,303186,42,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:14Z,"classical,early romantic era,polish classical,classical piano,french classical piano",0.276,0.13,1,-19.031,1,0.0355,0.991,0.915,0.119,0.0619,135.437,3
4r6dN7hJF960vCPFyvxQ4l,"7y97mc3bZRFXzT2szRM4L4,5PBkqMGQIERbzE5fSqdMr0","Nocturne No. 2 in E-Flat Major, Op. 9 No. 2","The Nocturnes","Frédéric Chopin,Park Eun Shik",2019-12-13,269991,50,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:15Z,"classical,early romantic era,polish classical,korean classical performance,korean classical piano",0.329,0.0247,10,-29.549,1,0.0417,0.991,0.95,0.0891,0.116,68.648,4
2YJgIsU0vreWfKytQelclt,"7y97mc3bZRFXzT2szRM4L4,1KAYt5PzgkE6W3ExmqoNPn","Waltz in E Minor, Op. Posth.","Chopin: 4 Ballades, Polonaise Héroïque, Polonaise Fantaisie, Nocturnes, Waltzes","Frédéric Chopin,Jean-Paul Gasparian",2019-05-17,172600,39,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:16Z,"classical,early romantic era,polish classical,french classical piano",0.282,0.0734,4,-26.4,1,0.0358,0.986,0.93,0.0984,0.195,129.525,4
2JW7SBwGDaSl1x6A29IpNg,"4E7SqOwOtQijkVpHGccXR8,0PhAoxJ5J8PZFVkMrfnDUt","Pathetique Sonata, Pt. 3","Pathetique Sonata","Ludwig van Beethoven,Boris Apostolov",2021-02-01,284000,11,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:17Z,"",0.301,0.134,0,-20.814,0,0.0423,0.986,0.862,0.14,0.29,97.323,4
2nbMCBBmKc3B6A30jYPmpD,"5aIqB5nVVvmFsvSdExz408,0gLd6Ag1s1yaqh1xsanXR7","Prelude in C Major, BWV 846","The Piano Album","Johann Sebastian Bach,Alistair McGowan",2017-09-29,148693,47,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:18Z,"baroque,classical,early music,german baroque",0.269,0.11,0,-27.095,1,0.0429,0.994,0.868,0.116,0.131,121.897,4
6oCI2tE0YBbKHvN3uoO9oX,"2WJ5Jh2DxFhkyA3xRoq77z","Beethoven - Moonlight Sonata 1st Movement","Pianissimo","Martin Bloch",2013-12-15,300930,34,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:18Z,"calming instrumental",0.182,0.0307,1,-30.235,0,0.0465,0.99,0.945,0.0919,0.0855,172.625,3
7IHEJdJhju1F2rhIiwgawx,"4NJhFmfw43RLBLjQvxDuRS,5vBh0nve44zwwVF5KWtCwA","Fantasia in D Minor, K. 397","Mozart: Piano Sonatas K.310, K.311 & K.533/494","Wolfgang Amadeus Mozart,Alfred Brendel",2003-01-01,316653,60,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:18Z,"classical,classical era,austrian classical piano,classical performance,classical piano",0.382,0.0499,2,-25.262,1,0.0548,0.994,0.906,0.109,0.0779,125.903,4
4NVmEVNj24X6dI8EMytkbE,"3T7wt23xNhYheYCCtKKntb","Pathetique Sonata (2nd Movement)","Mozart Effect","Brain Power Amadeus",2020-03-08,162725,44,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:18Z,"",0.253,0.00371,8,-33.884,1,0.0368,0.987,0.94,0.152,0.0635,100.014,4
7lAOLNDVHWwvBohU5frfG7,"7y97mc3bZRFXzT2szRM4L4,5SBOWUBQdfga0xprPVBxOr","Waltz No. 10 in B Minor, Op. 69, No. 2","Chopin: Waltzes (Complete)","Frédéric Chopin,Idil Biret",1992-06-10,238906,45,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:19Z,"classical,early romantic era,polish classical,classical piano,turkish classical performance",0.328,0.0164,11,-32.148,0,0.0405,0.993,0.974,0.119,0.301,154.817,4
1Fdp0yLsiMhxAp03w5yqZ4,"3m8qh3adp23dCoZBHZt5IH","G Minor Bach","G Minor Bach","Kassia",2020-04-28,168019,38,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:19Z,"",0.535,0.258,3,-19.238,1,0.0312,0.987,0.946,0.107,0.581,98.939,4
51GyOWic9d8VN1xZawE4l6,"2p0UyoPfYfI76PCStuXfOP,6mh9rp5dooZMF0xCaALktv","Serenade, D. 889 (Arr. for Solo Piano)","Schubert Monday Evening","Franz Schubert,Dmitri Bashkirov",2021-01-25,324200,34,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:19Z,"classical,classical era,early romantic era,russian classical piano",0.339,0.0168,2,-28.918,1,0.0349,0.995,0.916,0.091,0.0399,69.91,3
6xkYAK0duVMRfWOglN2z3G,"3T7wt23xNhYheYCCtKKntb","Comptine D'un Autre Été","Mozart Effect","Brain Power Amadeus",2020-03-08,122601,43,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:20Z,"",0.546,0.00735,3,-32.851,1,0.0412,0.984,0.918,0.0994,0.128,106.099,4
7rf95Gwkznfir1dOcA0BYs,"2tsvZvIYQM2Hh1eAlku4re","Swan Lake (Piano Arrangement)","Swan Lake (Piano Arrangement)","Jonathan Morais",2020-07-30,247166,28,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:22Z,"",0.369,0.0339,11,-21.385,0,0.122,0.975,0.896,0.266,0.0847,165.032,4
1SItHiHPqABSEgLckb1WHd,"7y97mc3bZRFXzT2szRM4L4,22B1T23YzVRPPQkvN6AjSX","Nocturne No.9 in B, Op.32 No.1","Chopin The Complete Nocturnes","Frédéric Chopin,Kun-Woo Paik",2018-03-05,309906,38,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:22Z,"classical,early romantic era,polish classical,korean classical performance,korean classical piano",0.361,0.048,11,-23.467,1,0.0545,0.995,0.916,0.0823,0.0507,75.922,5
3twdAlhDhUbknsU4yyg5Um,"3OU851re05D9gDkB5pXQee","Bach Prelude in C","At the grand hotel (Refined instrumental music for luxury hotels)","Edwards Stephen",2015-04-08,123494,45,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:22Z,"",0.356,0.118,0,-24.632,1,0.0381,0.985,0.823,0.114,0.314,141.599,4
