Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3xeaR6dAHQHU6rtUPRK9tX,"4f0OXMMSxr0r8Ztx6CdpAl","Rave Culture 2022","Rave Culture 2022","Sub Zero Project",2021-12-10,184000,61,spotify:user:11124443444,2022-06-10T00:41:23Z,"euphoric hardstyle,rawstyle",0.292,0.947,1,-4.449,1,0.0906,0.00171,0.593,0.191,0.0859,150.101,4
3LMyXZVHozagfHXCM7wS4s,"3Ij56hbjOTHq8RgutQwfxC","Brutal 9.0","Brutal 9.0","Radical Redemption",2021-07-30,263642,50,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,rawstyle",0.349,0.956,11,-1.855,0,0.561,0.0594,0,0.111,0.0566,154.884,4
01xdiGuSuIf5qZulm1uqkY,"6L7a6wPGpvLtTwOsMLnF1z,7E6DrjKJieOdJKO8mbwCMO","Feel It!","Feel It!","D-Block & S-te-Fan,D-Sturb",2020-01-21,236903,64,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle,frenchcore,xtra raw",0.459,0.941,9,-2.053,0,0.0777,0.0191,0,0.371,0.399,155.023,4
5z7eJwNSulodOuFB0faCnp,"6J6UF3GqOLdt6f4gfazSzf,6L7a6wPGpvLtTwOsMLnF1z","Inside My Head","Inside My Head","Ghost Stories,D-Block & S-te-Fan",2021-02-23,217600,51,spotify:user:11124443444,2022-06-10T00:41:23Z,"euphoric hardstyle,classic hardstyle,rawstyle",0.39,0.965,9,-2.617,0,0.131,0.00713,0.000345,0.111,0.121,149.916,4
7xmvyYQEVNhY21cWYdj3Yo,"1CqOLQmjzVWXQTiIN5Wucs,37jL2LnGjAkadOCszr8v7C,3Ij56hbjOTHq8RgutQwfxC","Countdown - Radical Redemption Remix","Countdown (Radical Redemption Remix)","TNT,Technoboy,Radical Redemption",2021-11-19,201000,47,spotify:user:11124443444,2022-06-10T00:41:23Z,"euphoric hardstyle,classic hardstyle,rawstyle",0.248,0.942,10,-3.616,0,0.303,0.0762,0.0407,0.0932,0.0394,155.098,4
6AQpd05OyowTvtO7I3BdBU,"3gk0OYeLFWYupGFRHqLSR7,37jL2LnGjAkadOCszr8v7C,3mZnhzeAyjpFhO3cIepzBr","Mellow","Mellow","Showtek,Technoboy,Tuneboy",2016-08-12,169839,56,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,edm,electro house,euphoric hardstyle,pop dance,progressive electro house,rawstyle",0.563,0.873,11,-2.973,0,0.0413,0.0449,0.0852,0.0898,0.403,149.975,4
4bidbyOK1pdyHM3Hu0cvKO,"1Wt63OMKtv6v2ivHuQLm2C,6UOk7DmvqlzWmo6gjhZvn6,1rpLzYzfrueWdkpcIunZQl","Here To Stay","Here To Stay","Coone,Da Tweekaz,Hard Driver",2021-12-16,262587,50,spotify:user:11124443444,2022-06-10T00:41:23Z,"belgian edm,classic hardstyle,euphoric hardstyle,jumpstyle,rawstyle",0.482,0.935,8,-5.081,0,0.108,0.0113,0.00065,0.118,0.331,150.036,4
1a3M9MU7mmhQerLzHSGD3w,"7AGSJihqYPhYy5QzMcwcQT,6Xhhpra0X0hpvC3yZaQ0Du","My Beautiful Fantasy","My Beautiful Fantasy","Phuture Noize,B-Front",2020-01-10,192014,7,spotify:user:11124443444,2022-06-10T00:41:23Z,"australian dance,classic hardstyle,euphoric hardstyle,rawstyle,hardstyle",0.319,0.865,2,-2.528,0,0.0415,0.132,0,0.152,0.0845,155.174,4
5ooJpstPzU3mYDS3PVstCR,"1Wt63OMKtv6v2ivHuQLm2C,6UOk7DmvqlzWmo6gjhZvn6,1rpLzYzfrueWdkpcIunZQl","Falling Angels","Falling Angels","Coone,Da Tweekaz,Hard Driver",2022-01-27,201985,49,spotify:user:11124443444,2022-06-10T00:41:23Z,"belgian edm,classic hardstyle,euphoric hardstyle,jumpstyle,rawstyle",0.464,0.802,5,-5.507,0,0.0561,0.00929,0.0000113,0.126,0.382,75.058,4
5BeV0OiC4VQ3TG7ZlNHHsz,"5nd7jnne7zbsV2J5jBKNOY,2DYDFBqoaBP2i9XrTGpOgF,2OxrEwDhVZodk9XEVBkA6E","Virtual Gaming - Gammer Remix","Virtual Gaming (Gammer Remix)","Gammer,Naeleck,Hige Driver",2021-03-26,158158,54,spotify:user:11124443444,2022-06-10T00:41:23Z,"electro house,happy hardcore,hardcore techno,electro",0.496,0.98,11,-3.434,0,0.0474,0.000291,0.318,0.353,0.391,150.008,4
7CwUoENzTnkHzFlmFfFby4,"4LBa6kTLaQHiONCfTfTaXV,7FTQICqfx93tZdwZJb3wt2","Paradise","Paradise","Toneshifterz,Firelite",2021-06-10,194921,47,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,hardstyle,rawstyle",0.319,0.861,5,-4.11,1,0.0544,0.0368,0.0000748,0.252,0.202,149.652,4
5rlO2Wr2jifgjiBbPy25Su,"0WbAxASsYdodSlqwserDAW,0l6LU5NRvLTVeRDJZznwLX","Firestone","Firestone","Gunz For Hire,Ava Silver",2022-03-31,241500,52,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,rawstyle",0.2,0.961,5,-2.044,0,0.288,0.0295,0,0.44,0.0397,159.853,4
2cpyfpwJay3ruq1xHSe9qx,"1IzL8byyge5NpSaiTpj5tK,0hugeeQ7SoeVifIKCi1QP7","Take Me Away","Take Me Away","Nicky Vuitton,Audrey Callahan",2022-04-18,196965,41,spotify:user:11124443444,2022-06-10T00:41:23Z,"channel pop",0.487,0.867,5,-4.054,0,0.0307,0.0019,0.000678,0.0561,0.336,144.948,3
5DWoPJxISs9VMRCJBzujB6,"6L7a6wPGpvLtTwOsMLnF1z,4f0OXMMSxr0r8Ztx6CdpAl","Darkest Hour (The Clock)","Darkest Hour (The Clock)","D-Block & S-te-Fan,Sub Zero Project",2019-03-04,241600,58,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle",0.535,0.877,3,-2.181,0,0.0465,0.033,0.000167,0.144,0.115,150.022,4
05EG9LwFCVjkoYEWzsrHHO,"3ZaPFQ05J5qSM5I3Smbp44","Legend","Phantom","Tevvez",2020-12-04,189679,76,spotify:user:11124443444,2022-06-10T00:41:23Z,"",0.294,0.707,2,-5.418,1,0.0389,0.0408,0.106,0.0705,0.0395,149.94,4
3ppJijBGMSBnz45elmwh5V,"6L7a6wPGpvLtTwOsMLnF1z","Primal Energy (Defqon.1 2020 Anthem)","Primal Energy (Defqon.1 2020 Anthem)","D-Block & S-te-Fan",2020-02-28,316800,0,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle",0.297,0.935,11,-2.188,0,0.0758,0.0251,0.0000104,0.157,0.147,112.603,3
0cfxGRaCEFKwz66bURIYz5,"0IUq1plF3ON4Fboj1bE6kN,4NgNsOXSwIzXlUIJcpnNUp,5QySqc6yAFDx9m7fedFZmC","Silence - Brennan Heart Remix","Silence (feat. Sarah McLachlan) [Brennan Heart Remix]","Delerium,Sarah McLachlan,Brennan Heart",2021-10-07,263453,55,spotify:user:11124443444,2022-06-10T00:41:23Z,"trance,canadian pop,canadian singer-songwriter,ectofolk,lilith,permanent wave,pop rock,classic hardstyle,euphoric hardstyle,rawstyle",0.204,0.817,9,-3.706,0,0.0505,0.0196,0.000029,0.0678,0.195,149.686,4
2WEAjQeoTRm7T3leqV2YfQ,"0aKXalHKVzkLJ6aeUY3HMf,5SxjKJ2HIg3dVQ427HYVHS,7xhR4wM8X8SeGTKKPujotA","Popcorn","Popcorn","Outsiders,Bass Chaserz,Anita Doth",2021-06-25,196645,57,spotify:user:11124443444,2022-06-10T00:41:23Z,"nederlandse hardstyle,carnaval,rawstyle",0.596,0.965,7,-5.552,1,0.227,0.0343,0.0000448,0.0798,0.338,154.976,4
0YHL0wDP6b7ov6h0yEhorO,"2rTo8KIkBTFjQS7VvaKYQ4,5QWt56OIzFSPRpD7VeRkbc,7rEAvtkj6sNUlQXlYRldrs","Rave Love","Rave Love","W&W,AXMO,SONJA",2020-10-23,189000,59,spotify:user:11124443444,2022-06-10T00:41:23Z,"big room,dutch trance,edm,electro house,pop dance,deep big room",0.393,0.895,6,-4.935,0,0.0493,0.00259,0.000407,0.151,0.183,160.057,4
45y8anJchQhBeBRuw9KJle,"6UOk7DmvqlzWmo6gjhZvn6,7IFPeV5Ew63S7Hid0AjNgK,3vH8Rv37KXuUZzSHICjTnm","Animal In Me","Animal In Me","Da Tweekaz,Sound Rush,XCEPTION",2022-02-17,251460,51,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle",0.536,0.984,0,-3.48,1,0.115,0.000362,0.000031,0.281,0.265,149.996,4
74CkeJ0vYYTdQImnaLy759,"49CE2ffZ6Z3zeYSDauSKck,6KZDXtSj0SzGOV705nNeh3,5QySqc6yAFDx9m7fedFZmC","Ride With Me (feat. Kid Ink) - Brennan Heart Remix","Ride With Me (feat. Kid Ink) [Brennan Heart Remix]","Tungevaag,Kid Ink,Brennan Heart",2021-07-02,230400,66,spotify:user:11124443444,2022-06-10T00:41:23Z,"big room,dance pop,edm,electro house,nordic house,pop dance,tropical house,hip hop,pop rap,rap,southern hip hop,trap,classic hardstyle,euphoric hardstyle,rawstyle",0.693,0.864,4,-4.17,0,0.0483,0.278,0.0388,0.0777,0.142,149.998,4
0N4QGYBSaeRwmo4pxuEG0x,"1wuQQfTDZhgNb4GJyhThUs","No Paradise","No Paradise","Warface",2020-05-18,241548,54,spotify:user:11124443444,2022-06-10T00:41:23Z,"rawstyle,xtra raw",0.498,0.936,11,-4.479,0,0.0766,0.00507,0.00000284,0.12,0.334,154.872,4
70w4eBsa2UagTSYLkPT5yv,"7ikySCCJo3shAEZsoKEtVK,1gFaP9K5NYWzaBLZkFx4ch","Darkness Disappears","Darkness Disappears (feat. Niclas Lundin)","Rebourne,Niclas Lundin",2021-10-14,188800,42,spotify:user:11124443444,2022-06-10T00:41:23Z,"australian dance,classic hardstyle,euphoric hardstyle,hardstyle,rawstyle",0.324,0.817,11,-3.374,0,0.058,0.000758,0.00000328,0.0823,0.399,150.339,4
1aBr1v8aS3fealiWZv653k,"7IFPeV5Ew63S7Hid0AjNgK,6C0KWmCdqrLU2LzzWBPbOy","Take It All - Headhunterz Remix","The Art Of Remixes EP 2021 Part III","Sound Rush,Headhunterz",2021-11-11,218000,52,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle,melbourne bounce international",0.191,0.877,0,-3.686,0,0.109,0.00348,0.00267,0.138,0.271,150.055,4
2xw66v4Dh3IDfSNwVHeDDq,"2CREMC4YATn7Bx9ZQku6IH","On My Own","On My Own","Vertile",2022-02-11,230709,49,spotify:user:11124443444,2022-06-10T00:41:23Z,"hardstyle,rawstyle",0.499,0.988,9,-0.779,0,0.123,0.0226,0,0.12,0.142,155.065,4
22sqJxkSYyrYRz2CCH9Nbl,"1Wt63OMKtv6v2ivHuQLm2C,6UOk7DmvqlzWmo6gjhZvn6,1rpLzYzfrueWdkpcIunZQl","A Thousand Journeys","A Thousand Journeys","Coone,Da Tweekaz,Hard Driver",2021-07-15,246566,5,spotify:user:11124443444,2022-06-10T00:41:23Z,"belgian edm,classic hardstyle,euphoric hardstyle,jumpstyle,rawstyle",0.434,0.794,5,-5.3,0,0.0931,0.125,0,0.201,0.149,149.969,4
